"","File Name","Month","FishWeight","AvgVolume"
"salmonovary_02","20211005_salmonovary_02.raw","February",159.6,0.145
"salmonovary_03","20211005_salmonovary_03.raw","December",123.9,0.07
"salmonovary_07","20211005_salmonovary_07.raw","February",171.6,0.105
"salmonovary_09","20211005_salmonovary_09.raw","February",166.6,0.132
"salmonovary_10","20211005_salmonovary_10.raw","April",23.2,0.008743283
"salmonovary_11","20211005_salmonovary_11.raw","April",25.4,0.011553551
"salmonovary_12","20211005_salmonovary_12.raw","December",124.4,0.036
"salmonovary_13","20211005_salmonovary_13.raw","April",34.1,0.010183741
"salmonovary_14","20211005_salmonovary_14.raw","February",145,0.072284802
"salmonovary_15","20211005_salmonovary_15.raw","December",116,0.058054088
"salmonovary_16","20211005_salmonovary_16.raw","April",33.3,0.010577978
"salmonovary_17","20211005_salmonovary_17.raw","August",43.9,0.008277546
"salmonovary_18","20211005_salmonovary_18.raw","December",129.7,0.047
"salmonovary_19","20211005_salmonovary_19.raw","December",116.9,0.046037536
"salmonovary_20","20211005_salmonovary_20.raw","August",42.6,0.012873904
"salmonovary_21","20211005_salmonovary_21.raw","February",153,0.09
"salmonovary_22","20211005_salmonovary_22.raw","April",23.5,0.005589539
"salmonovary_23","20211005_salmonovary_23.raw","February",126.6,0.142
"salmonovary_24","20211005_salmonovary_24.raw","August",45.1,0.010191004
"salmonovary_26","20211005_salmonovary_26.raw","August",44.2,0.0113752
"salmonovary_27","20211005_salmonovary_27.raw","August",49,0.013873348
"salmonovary_28","20211005_salmonovary_28.raw","April",27.2,0.008749707
